actor.id;condition;SES;actor.age.years;Sex;dist;eq.uneq;Offer;decision;trial;actor.age.months;IQ.percentil;Order;TEORIA DE LA MENTE NIVEL TODOS;Control motor;CONTROL  COGNITIVO 
5;AI;LOW;9;M;t8.dist;U;AI;accept;8;9.16;3;1;BAJO;; 
5;AI;LOW;9;M;t9.dist;U;AI;accept;9;9.16;3;1;BAJO;; 
5;AI;LOW;9;M;t10.dist;U;AI;accept;10;9.16;3;1;BAJO;; 
5;AI;LOW;9;M;t11.dist;U;AI;reject;11;9.16;3;1;BAJO;; 
5;AI;LOW;9;M;t12.dist;U;AI;accept;12;9.16;3;1;BAJO;; 
6;DI;LOW;8;M;t1.dist;E;E;accept;1;8.58;10;1;BAJO;2; 
6;DI;LOW;8;M;t2.dist;E;E;accept;2;8.58;10;1;BAJO;2; 
6;DI;LOW;8;M;t3.dist;E;E;accept;3;8.58;10;1;BAJO;2; 
6;DI;LOW;8;M;t4.dist;E;E;accept;4;8.58;10;1;BAJO;2; 
6;DI;LOW;8;M;t5.dist;E;E;reject;5;8.58;10;1;BAJO;2; 
6;DI;LOW;8;M;t6.dist;E;E;accept;6;8.58;10;1;BAJO;2; 
6;DI;LOW;8;M;t7.dist;U;DI;reject;7;8.58;10;1;BAJO;2; 
6;DI;LOW;8;M;t8.dist;U;DI;accept;8;8.58;10;1;BAJO;2; 
6;DI;LOW;8;M;t9.dist;U;DI;accept;9;8.58;10;1;BAJO;2; 
6;DI;LOW;8;M;t10.dist;U;DI;accept;10;8.58;10;1;BAJO;2; 
6;DI;LOW;8;M;t11.dist;U;DI;accept;11;8.58;10;1;BAJO;2; 
6;DI;LOW;8;M;t12.dist;U;DI;accept;12;8.58;10;1;BAJO;2; 
7;AI;LOW;8;M;t1.dist;U;AI;accept;1;8.16;3;2;;1; 
7;AI;LOW;8;M;t2.dist;U;AI;accept;2;8.16;3;2;;1; 
7;AI;LOW;8;M;t3.dist;U;AI;accept;3;8.16;3;2;;1; 
7;AI;LOW;8;M;t4.dist;U;AI;accept;4;8.16;3;2;;1; 
7;AI;LOW;8;M;t5.dist;U;AI;accept;5;8.16;3;2;;1; 
7;AI;LOW;8;M;t6.dist;U;AI;accept;6;8.16;3;2;;1; 
7;AI;LOW;8;M;t7.dist;E;E;accept;7;8.16;3;2;;1; 
7;AI;LOW;8;M;t8.dist;E;E;accept;8;8.16;3;2;;1; 
7;AI;LOW;8;M;t9.dist;E;E;accept;9;8.16;3;2;;1; 
7;AI;LOW;8;M;t10.dist;E;E;accept;10;8.16;3;2;;1; 
7;AI;LOW;8;M;t11.dist;E;E;accept;11;8.16;3;2;;1; 
7;AI;LOW;8;M;t12.dist;E;E;accept;12;8.16;3;2;;1; 
8;DI;LOW;9;F;t1.dist;U;DI;accept;1;9.08;5;2;MEDIO;3; 
8;DI;LOW;9;F;t2.dist;U;DI;accept;2;9.08;5;2;MEDIO;3; 
8;DI;LOW;9;F;t3.dist;U;DI;accept;3;9.08;5;2;MEDIO;3; 
8;DI;LOW;9;F;t4.dist;U;DI;accept;4;9.08;5;2;MEDIO;3; 
8;DI;LOW;9;F;t5.dist;U;DI;accept;5;9.08;5;2;MEDIO;3; 
8;DI;LOW;9;F;t6.dist;U;DI;accept;6;9.08;5;2;MEDIO;3; 
8;DI;LOW;9;F;t7.dist;E;E;accept;7;9.08;5;2;MEDIO;3; 
8;DI;LOW;9;F;t8.dist;E;E;accept;8;9.08;5;2;MEDIO;3; 
8;DI;LOW;9;F;t9.dist;E;E;accept;9;9.08;5;2;MEDIO;3; 
8;DI;LOW;9;F;t10.dist;E;E;accept;10;9.08;5;2;MEDIO;3; 
8;DI;LOW;9;F;t11.dist;E;E;accept;11;9.08;5;2;MEDIO;3; 
8;DI;LOW;9;F;t12.dist;E;E;accept;12;9.08;5;2;MEDIO;3; 
10;DI;LOW;5;M;t1.dist;E;E;accept;1;5.66;6;1;MEDIO;0; 
10;DI;LOW;5;M;t2.dist;E;E;reject;2;5.66;6;1;MEDIO;0; 
10;DI;LOW;5;M;t3.dist;E;E;accept;3;5.66;6;1;MEDIO;0; 
10;DI;LOW;5;M;t4.dist;E;E;reject;4;5.66;6;1;MEDIO;0; 
10;DI;LOW;5;M;t5.dist;E;E;accept;5;5.66;6;1;MEDIO;0; 
10;DI;LOW;5;M;t6.dist;E;E;reject;6;5.66;6;1;MEDIO;0; 
10;DI;LOW;5;M;t7.dist;U;DI;accept;7;5.66;6;1;MEDIO;0; 
10;DI;LOW;5;M;t8.dist;U;DI;reject;8;5.66;6;1;MEDIO;0; 
10;DI;LOW;5;M;t9.dist;U;DI;accept;9;5.66;6;1;MEDIO;0; 
10;DI;LOW;5;M;t10.dist;U;DI;reject;10;5.66;6;1;MEDIO;0; 
10;DI;LOW;5;M;t11.dist;U;DI;accept;11;5.66;6;1;MEDIO;0; 
10;DI;LOW;5;M;t12.dist;U;DI;reject;12;5.66;6;1;MEDIO;0; 
11;DI;LOW;7;F;t1.dist;E;E;accept;1;7.16;19;1;ALTO;3;Alto
11;DI;LOW;7;F;t2.dist;E;E;accept;2;7.16;19;1;ALTO;3;Alto
11;DI;LOW;7;F;t3.dist;E;E;accept;3;7.16;19;1;ALTO;3;Alto
11;DI;LOW;7;F;t4.dist;E;E;accept;4;7.16;19;1;ALTO;3;Alto
11;DI;LOW;7;F;t5.dist;E;E;accept;5;7.16;19;1;ALTO;3;Alto
11;DI;LOW;7;F;t6.dist;E;E;accept;6;7.16;19;1;ALTO;3;Alto
11;DI;LOW;7;F;t7.dist;U;DI;accept;7;7.16;19;1;ALTO;3;Alto
11;DI;LOW;7;F;t8.dist;U;DI;accept;8;7.16;19;1;ALTO;3;Alto
11;DI;LOW;7;F;t9.dist;U;DI;accept;9;7.16;19;1;ALTO;3;Alto
11;DI;LOW;7;F;t10.dist;U;DI;accept;10;7.16;19;1;ALTO;3;Alto
11;DI;LOW;7;F;t11.dist;U;DI;accept;11;7.16;19;1;ALTO;3;Alto
11;DI;LOW;7;F;t12.dist;U;DI;accept;12;7.16;19;1;ALTO;3;Alto
12;DI;LOW;7;F;t1.dist;U;DI;accept;1;7.41;30;2;MEDIO;2;Bajo
12;DI;LOW;7;F;t2.dist;U;DI;accept;2;7.41;30;2;MEDIO;2;Bajo
12;DI;LOW;7;F;t3.dist;U;DI;accept;3;7.41;30;2;MEDIO;2;Bajo
12;DI;LOW;7;F;t4.dist;U;DI;accept;4;7.41;30;2;MEDIO;2;Bajo
12;DI;LOW;7;F;t5.dist;U;DI;accept;5;7.41;30;2;MEDIO;2;Bajo
12;DI;LOW;7;F;t6.dist;U;DI;reject;6;7.41;30;2;MEDIO;2;Bajo
12;DI;LOW;7;F;t7.dist;E;E;accept;7;7.41;30;2;MEDIO;2;Bajo
12;DI;LOW;7;F;t8.dist;E;E;reject;8;7.41;30;2;MEDIO;2;Bajo
12;DI;LOW;7;F;t9.dist;E;E;accept;9;7.41;30;2;MEDIO;2;Bajo
12;DI;LOW;7;F;t10.dist;E;E;reject;10;7.41;30;2;MEDIO;2;Bajo
12;DI;LOW;7;F;t11.dist;E;E;accept;11;7.41;30;2;MEDIO;2;Bajo
12;DI;LOW;7;F;t12.dist;E;E;accept;12;7.41;30;2;MEDIO;2;Bajo
13;DI;LOW;6;F;t1.dist;E;E;accept;1;6.5;1;1;ALTO;1;Bajo
13;DI;LOW;6;F;t2.dist;E;E;accept;2;6.5;1;1;ALTO;1;Bajo
13;DI;LOW;6;F;t3.dist;E;E;accept;3;6.5;1;1;ALTO;1;Bajo
13;DI;LOW;6;F;t4.dist;E;E;accept;4;6.5;1;1;ALTO;1;Bajo
13;DI;LOW;6;F;t5.dist;E;E;accept;5;6.5;1;1;ALTO;1;Bajo
13;DI;LOW;6;F;t6.dist;E;E;accept;6;6.5;1;1;ALTO;1;Bajo
13;DI;LOW;6;F;t7.dist;U;DI;accept;7;6.5;1;1;ALTO;1;Bajo
13;DI;LOW;6;F;t8.dist;U;DI;accept;8;6.5;1;1;ALTO;1;Bajo
13;DI;LOW;6;F;t9.dist;U;DI;accept;9;6.5;1;1;ALTO;1;Bajo
13;DI;LOW;6;F;t10.dist;U;DI;accept;10;6.5;1;1;ALTO;1;Bajo
13;DI;LOW;6;F;t11.dist;U;DI;accept;11;6.5;1;1;ALTO;1;Bajo
13;DI;LOW;6;F;t12.dist;U;DI;accept;12;6.5;1;1;ALTO;1;Bajo
15;AI;LOW;10;M;t1.dist;E;E;accept;1;10.33;10;1;BAJO;3; 
15;AI;LOW;10;M;t2.dist;E;E;accept;2;10.33;10;1;BAJO;3; 
15;AI;LOW;10;M;t3.dist;E;E;reject;3;10.33;10;1;BAJO;3; 
15;AI;LOW;10;M;t4.dist;E;E;accept;4;10.33;10;1;BAJO;3; 
15;AI;LOW;10;M;t5.dist;E;E;accept;5;10.33;10;1;BAJO;3; 
15;AI;LOW;10;M;t6.dist;E;E;reject;6;10.33;10;1;BAJO;3; 
15;AI;LOW;10;M;t7.dist;U;AI;accept;7;10.33;10;1;BAJO;3; 
15;AI;LOW;10;M;t8.dist;U;AI;accept;8;10.33;10;1;BAJO;3; 
15;AI;LOW;10;M;t9.dist;U;AI;accept;9;10.33;10;1;BAJO;3; 
15;AI;LOW;10;M;t10.dist;U;AI;accept;10;10.33;10;1;BAJO;3; 
15;AI;LOW;10;M;t11.dist;U;AI;accept;11;10.33;10;1;BAJO;3; 
15;AI;LOW;10;M;t12.dist;U;AI;accept;12;10.33;10;1;BAJO;3; 
16;AI;LOW;5;F;t1.dist;E;E;accept;1;5;23;1;MEDIO;0;Alto
16;AI;LOW;5;F;t2.dist;E;E;reject;2;5;23;1;MEDIO;0;Alto
16;AI;LOW;5;F;t3.dist;E;E;accept;3;5;23;1;MEDIO;0;Alto
16;AI;LOW;5;F;t4.dist;E;E;reject;4;5;23;1;MEDIO;0;Alto
16;AI;LOW;5;F;t5.dist;E;E;accept;5;5;23;1;MEDIO;0;Alto
16;AI;LOW;5;F;t6.dist;E;E;reject;6;5;23;1;MEDIO;0;Alto
16;AI;LOW;5;F;t7.dist;U;AI;accept;7;5;23;1;MEDIO;0;Alto
16;AI;LOW;5;F;t8.dist;U;AI;reject;8;5;23;1;MEDIO;0;Alto
16;AI;LOW;5;F;t9.dist;U;AI;accept;9;5;23;1;MEDIO;0;Alto
16;AI;LOW;5;F;t10.dist;U;AI;reject;10;5;23;1;MEDIO;0;Alto
16;AI;LOW;5;F;t11.dist;U;AI;accept;11;5;23;1;MEDIO;0;Alto
16;AI;LOW;5;F;t12.dist;U;AI;reject;12;5;23;1;MEDIO;0;Alto
17;DI;LOW;5;F;t1.dist;E;E;accept;1;5;2;1;BAJO;0;Bajo
17;DI;LOW;5;F;t2.dist;E;E;accept;2;5;2;1;BAJO;0;Bajo
17;DI;LOW;5;F;t3.dist;E;E;accept;3;5;2;1;BAJO;0;Bajo
17;DI;LOW;5;F;t4.dist;E;E;accept;4;5;2;1;BAJO;0;Bajo
17;DI;LOW;5;F;t5.dist;E;E;accept;5;5;2;1;BAJO;0;Bajo
17;DI;LOW;5;F;t6.dist;E;E;accept;6;5;2;1;BAJO;0;Bajo
17;DI;LOW;5;F;t7.dist;U;DI;accept;7;5;2;1;BAJO;0;Bajo
17;DI;LOW;5;F;t8.dist;U;DI;accept;8;5;2;1;BAJO;0;Bajo
17;DI;LOW;5;F;t9.dist;U;DI;accept;9;5;2;1;BAJO;0;Bajo
17;DI;LOW;5;F;t10.dist;U;DI;accept;10;5;2;1;BAJO;0;Bajo
17;DI;LOW;5;F;t11.dist;U;DI;accept;11;5;2;1;BAJO;0;Bajo
17;DI;LOW;5;F;t12.dist;U;DI;accept;12;5;2;1;BAJO;0;Bajo
19;DI;LOW;5;M;t1.dist;E;E;accept;1;5.66;2;1;BAJO;0;Bajo
19;DI;LOW;5;M;t2.dist;E;E;accept;2;5.66;2;1;BAJO;0;Bajo
19;DI;LOW;5;M;t3.dist;E;E;accept;3;5.66;2;1;BAJO;0;Bajo
19;DI;LOW;5;M;t4.dist;E;E;accept;4;5.66;2;1;BAJO;0;Bajo
19;DI;LOW;5;M;t5.dist;E;E;accept;5;5.66;2;1;BAJO;0;Bajo
19;DI;LOW;5;M;t6.dist;E;E;accept;6;5.66;2;1;BAJO;0;Bajo
19;DI;LOW;5;M;t7.dist;U;DI;accept;7;5.66;2;1;BAJO;0;Bajo
19;DI;LOW;5;M;t8.dist;U;DI;accept;8;5.66;2;1;BAJO;0;Bajo
19;DI;LOW;5;M;t9.dist;U;DI;accept;9;5.66;2;1;BAJO;0;Bajo
19;DI;LOW;5;M;t10.dist;U;DI;accept;10;5.66;2;1;BAJO;0;Bajo
19;DI;LOW;5;M;t11.dist;U;DI;accept;11;5.66;2;1;BAJO;0;Bajo
19;DI;LOW;5;M;t12.dist;U;DI;accept;12;5.66;2;1;BAJO;0;Bajo
23;AI;LOW;8;F;t1.dist;U;AI;reject;1;8.75;4;2;ALTO;3;Bajo
23;AI;LOW;8;F;t2.dist;U;AI;accept;2;8.75;4;2;ALTO;3;Bajo
23;AI;LOW;8;F;t3.dist;U;AI;accept;3;8.75;4;2;ALTO;3;Bajo
23;AI;LOW;8;F;t4.dist;U;AI;accept;4;8.75;4;2;ALTO;3;Bajo
23;AI;LOW;8;F;t5.dist;U;AI;accept;5;8.75;4;2;ALTO;3;Bajo
23;AI;LOW;8;F;t6.dist;U;AI;accept;6;8.75;4;2;ALTO;3;Bajo
23;AI;LOW;8;F;t7.dist;E;E;reject;7;8.75;4;2;ALTO;3;Bajo
23;AI;LOW;8;F;t8.dist;E;E;reject;8;8.75;4;2;ALTO;3;Bajo
23;AI;LOW;8;F;t9.dist;E;E;accept;9;8.75;4;2;ALTO;3;Bajo
23;AI;LOW;8;F;t10.dist;E;E;accept;10;8.75;4;2;ALTO;3;Bajo
23;AI;LOW;8;F;t11.dist;E;E;accept;11;8.75;4;2;ALTO;3;Bajo
23;AI;LOW;8;F;t12.dist;E;E;accept;12;8.75;4;2;ALTO;3;Bajo
25;DI;LOW;8;M;t1.dist;E;E;reject;1;8.58;19;1;;3; 
25;DI;LOW;8;M;t2.dist;E;E;reject;2;8.58;19;1;;3; 
25;DI;LOW;8;M;t3.dist;E;E;accept;3;8.58;19;1;;3; 
25;DI;LOW;8;M;t4.dist;E;E;accept;4;8.58;19;1;;3; 
25;DI;LOW;8;M;t5.dist;E;E;accept;5;8.58;19;1;;3; 
25;DI;LOW;8;M;t6.dist;E;E;accept;6;8.58;19;1;;3; 
25;DI;LOW;8;M;t7.dist;U;DI;reject;7;8.58;19;1;;3; 
25;DI;LOW;8;M;t8.dist;U;DI;reject;8;8.58;19;1;;3; 
25;DI;LOW;8;M;t9.dist;U;DI;reject;9;8.58;19;1;;3; 
25;DI;LOW;8;M;t10.dist;U;DI;accept;10;8.58;19;1;;3; 
25;DI;LOW;8;M;t11.dist;U;DI;accept;11;8.58;19;1;;3; 
25;DI;LOW;8;M;t12.dist;U;DI;accept;12;8.58;19;1;;3; 
26;AI;LOW;9;F;t1.dist;U;AI;reject;1;9.83;8;2;BAJO;3;Bajo
26;AI;LOW;9;F;t2.dist;U;AI;reject;2;9.83;8;2;BAJO;3;Bajo
26;AI;LOW;9;F;t3.dist;U;AI;reject;3;9.83;8;2;BAJO;3;Bajo
26;AI;LOW;9;F;t4.dist;U;AI;reject;4;9.83;8;2;BAJO;3;Bajo
26;AI;LOW;9;F;t5.dist;U;AI;accept;5;9.83;8;2;BAJO;3;Bajo
26;AI;LOW;9;F;t6.dist;U;AI;accept;6;9.83;8;2;BAJO;3;Bajo
26;AI;LOW;9;F;t7.dist;E;E;reject;7;9.83;8;2;BAJO;3;Bajo
26;AI;LOW;9;F;t8.dist;E;E;reject;8;9.83;8;2;BAJO;3;Bajo
26;AI;LOW;9;F;t9.dist;E;E;reject;9;9.83;8;2;BAJO;3;Bajo
26;AI;LOW;9;F;t10.dist;E;E;accept;10;9.83;8;2;BAJO;3;Bajo
26;AI;LOW;9;F;t11.dist;E;E;accept;11;9.83;8;2;BAJO;3;Bajo
26;AI;LOW;9;F;t12.dist;E;E;accept;12;9.83;8;2;BAJO;3;Bajo
27;AI;LOW;7;F;t1.dist;U;AI;reject;1;7.16;4;2;MEDIO;3;Bajo
27;AI;LOW;7;F;t2.dist;U;AI;reject;2;7.16;4;2;MEDIO;3;Bajo
27;AI;LOW;7;F;t3.dist;U;AI;accept;3;7.16;4;2;MEDIO;3;Bajo
27;AI;LOW;7;F;t4.dist;U;AI;accept;4;7.16;4;2;MEDIO;3;Bajo
27;AI;LOW;7;F;t5.dist;U;AI;accept;5;7.16;4;2;MEDIO;3;Bajo
27;AI;LOW;7;F;t6.dist;U;AI;accept;6;7.16;4;2;MEDIO;3;Bajo
27;AI;LOW;7;F;t7.dist;E;E;reject;7;7.16;4;2;MEDIO;3;Bajo
27;AI;LOW;7;F;t8.dist;E;E;reject;8;7.16;4;2;MEDIO;3;Bajo
27;AI;LOW;7;F;t9.dist;E;E;accept;9;7.16;4;2;MEDIO;3;Bajo
27;AI;LOW;7;F;t10.dist;E;E;accept;10;7.16;4;2;MEDIO;3;Bajo
27;AI;LOW;7;F;t11.dist;E;E;accept;11;7.16;4;2;MEDIO;3;Bajo
27;AI;LOW;7;F;t12.dist;E;E;accept;12;7.16;4;2;MEDIO;3;Bajo
28;DI;LOW;5;F;t1.dist;U;DI;accept;1;5.58;23;2;BAJO;0;Alto
28;DI;LOW;5;F;t2.dist;U;DI;accept;2;5.58;23;2;BAJO;0;Alto
28;DI;LOW;5;F;t3.dist;U;DI;accept;3;5.58;23;2;BAJO;0;Alto
28;DI;LOW;5;F;t4.dist;U;DI;accept;4;5.58;23;2;BAJO;0;Alto
28;DI;LOW;5;F;t5.dist;U;DI;accept;5;5.58;23;2;BAJO;0;Alto
28;DI;LOW;5;F;t6.dist;U;DI;accept;6;5.58;23;2;BAJO;0;Alto
28;DI;LOW;5;F;t7.dist;E;E;accept;7;5.58;23;2;BAJO;0;Alto
28;DI;LOW;5;F;t8.dist;E;E;accept;8;5.58;23;2;BAJO;0;Alto
28;DI;LOW;5;F;t9.dist;E;E;accept;9;5.58;23;2;BAJO;0;Alto
28;DI;LOW;5;F;t10.dist;E;E;accept;10;5.58;23;2;BAJO;0;Alto
28;DI;LOW;5;F;t11.dist;E;E;accept;11;5.58;23;2;BAJO;0;Alto
28;DI;LOW;5;F;t12.dist;E;E;accept;12;5.58;23;2;BAJO;0;Alto
30;AI;LOW;6;M;t1.dist;U;AI;reject;1;6.08;47;2;ALTO;2;Medio
30;AI;LOW;6;M;t2.dist;U;AI;reject;2;6.08;47;2;ALTO;2;Medio
30;AI;LOW;6;M;t3.dist;U;AI;accept;3;6.08;47;2;ALTO;2;Medio
30;AI;LOW;6;M;t4.dist;U;AI;accept;4;6.08;47;2;ALTO;2;Medio
30;AI;LOW;6;M;t5.dist;U;AI;accept;5;6.08;47;2;ALTO;2;Medio
30;AI;LOW;6;M;t6.dist;U;AI;accept;6;6.08;47;2;ALTO;2;Medio
30;AI;LOW;6;M;t7.dist;E;E;reject;7;6.08;47;2;ALTO;2;Medio
30;AI;LOW;6;M;t8.dist;E;E;reject;8;6.08;47;2;ALTO;2;Medio
30;AI;LOW;6;M;t9.dist;E;E;reject;9;6.08;47;2;ALTO;2;Medio
30;AI;LOW;6;M;t10.dist;E;E;accept;10;6.08;47;2;ALTO;2;Medio
30;AI;LOW;6;M;t11.dist;E;E;accept;11;6.08;47;2;ALTO;2;Medio
30;AI;LOW;6;M;t12.dist;E;E;accept;12;6.08;47;2;ALTO;2;Medio
32;DI;LOW;9;M;t1.dist;E;E;reject;1;9.25;1;1;BAJO;; 
32;DI;LOW;9;M;t2.dist;E;E;accept;2;9.25;1;1;BAJO;; 
32;DI;LOW;9;M;t3.dist;E;E;accept;3;9.25;1;1;BAJO;; 
32;DI;LOW;9;M;t4.dist;E;E;accept;4;9.25;1;1;BAJO;; 
32;DI;LOW;9;M;t5.dist;E;E;accept;5;9.25;1;1;BAJO;; 
32;DI;LOW;9;M;t6.dist;E;E;accept;6;9.25;1;1;BAJO;; 
32;DI;LOW;9;M;t7.dist;U;DI;reject;7;9.25;1;1;BAJO;; 
32;DI;LOW;9;M;t8.dist;U;DI;accept;8;9.25;1;1;BAJO;; 
32;DI;LOW;9;M;t9.dist;U;DI;accept;9;9.25;1;1;BAJO;; 
32;DI;LOW;9;M;t10.dist;U;DI;accept;10;9.25;1;1;BAJO;; 
32;DI;LOW;9;M;t11.dist;U;DI;accept;11;9.25;1;1;BAJO;; 
32;DI;LOW;9;M;t12.dist;U;DI;accept;12;9.25;1;1;BAJO;; 
33;DI;LOW;8;F;t1.dist;U;DI;accept;1;8.91;1;2;BAJO;3; 
33;DI;LOW;8;F;t2.dist;U;DI;accept;2;8.91;1;2;BAJO;3; 
33;DI;LOW;8;F;t3.dist;U;DI;accept;3;8.91;1;2;BAJO;3; 
33;DI;LOW;8;F;t4.dist;U;DI;accept;4;8.91;1;2;BAJO;3; 
33;DI;LOW;8;F;t5.dist;U;DI;accept;5;8.91;1;2;BAJO;3; 
33;DI;LOW;8;F;t6.dist;U;DI;accept;6;8.91;1;2;BAJO;3; 
33;DI;LOW;8;F;t7.dist;E;E;accept;7;8.91;1;2;BAJO;3; 
33;DI;LOW;8;F;t8.dist;E;E;accept;8;8.91;1;2;BAJO;3; 
33;DI;LOW;8;F;t9.dist;E;E;accept;9;8.91;1;2;BAJO;3; 
33;DI;LOW;8;F;t10.dist;E;E;accept;10;8.91;1;2;BAJO;3; 
33;DI;LOW;8;F;t11.dist;E;E;accept;11;8.91;1;2;BAJO;3; 
33;DI;LOW;8;F;t12.dist;E;E;accept;12;8.91;1;2;BAJO;3; 
34;AI;LOW;6;M;t1.dist;E;E;reject;1;6.5;10;1;MEDIO;2;Bajo
34;AI;LOW;6;M;t2.dist;E;E;reject;2;6.5;10;1;MEDIO;2;Bajo
34;AI;LOW;6;M;t3.dist;E;E;reject;3;6.5;10;1;MEDIO;2;Bajo
34;AI;LOW;6;M;t4.dist;E;E;accept;4;6.5;10;1;MEDIO;2;Bajo
34;AI;LOW;6;M;t5.dist;E;E;accept;5;6.5;10;1;MEDIO;2;Bajo
34;AI;LOW;6;M;t6.dist;E;E;accept;6;6.5;10;1;MEDIO;2;Bajo
34;AI;LOW;6;M;t7.dist;U;AI;reject;7;6.5;10;1;MEDIO;2;Bajo
34;AI;LOW;6;M;t8.dist;U;AI;reject;8;6.5;10;1;MEDIO;2;Bajo
34;AI;LOW;6;M;t9.dist;U;AI;reject;9;6.5;10;1;MEDIO;2;Bajo
34;AI;LOW;6;M;t10.dist;U;AI;accept;10;6.5;10;1;MEDIO;2;Bajo
34;AI;LOW;6;M;t11.dist;U;AI;accept;11;6.5;10;1;MEDIO;2;Bajo
34;AI;LOW;6;M;t12.dist;U;AI;accept;12;6.5;10;1;MEDIO;2;Bajo
35;DI;LOW;6;M;t1.dist;E;E;accept;1;6.5;39;1;ALTO;2;Medio
35;DI;LOW;6;M;t2.dist;E;E;accept;2;6.5;39;1;ALTO;2;Medio
35;DI;LOW;6;M;t3.dist;E;E;accept;3;6.5;39;1;ALTO;2;Medio
35;DI;LOW;6;M;t4.dist;E;E;accept;4;6.5;39;1;ALTO;2;Medio
35;DI;LOW;6;M;t5.dist;E;E;accept;5;6.5;39;1;ALTO;2;Medio
35;DI;LOW;6;M;t6.dist;E;E;accept;6;6.5;39;1;ALTO;2;Medio
35;DI;LOW;6;M;t7.dist;U;DI;accept;7;6.5;39;1;ALTO;2;Medio
35;DI;LOW;6;M;t8.dist;U;DI;accept;8;6.5;39;1;ALTO;2;Medio
35;DI;LOW;6;M;t9.dist;U;DI;accept;9;6.5;39;1;ALTO;2;Medio
35;DI;LOW;6;M;t10.dist;U;DI;accept;10;6.5;39;1;ALTO;2;Medio
35;DI;LOW;6;M;t11.dist;U;DI;accept;11;6.5;39;1;ALTO;2;Medio
35;DI;LOW;6;M;t12.dist;U;DI;accept;12;6.5;39;1;ALTO;2;Medio
36;AI;LOW;6;F;t1.dist;U;AI;reject;1;6.25;58;2;ALTO;0;Bajo
36;AI;LOW;6;F;t2.dist;U;AI;reject;2;6.25;58;2;ALTO;0;Bajo
36;AI;LOW;6;F;t3.dist;U;AI;reject;3;6.25;58;2;ALTO;0;Bajo
36;AI;LOW;6;F;t4.dist;U;AI;accept;4;6.25;58;2;ALTO;0;Bajo
36;AI;LOW;6;F;t5.dist;U;AI;accept;5;6.25;58;2;ALTO;0;Bajo
36;AI;LOW;6;F;t6.dist;U;AI;accept;6;6.25;58;2;ALTO;0;Bajo
36;AI;LOW;6;F;t7.dist;E;E;reject;7;6.25;58;2;ALTO;0;Bajo
36;AI;LOW;6;F;t8.dist;E;E;reject;8;6.25;58;2;ALTO;0;Bajo
36;AI;LOW;6;F;t9.dist;E;E;reject;9;6.25;58;2;ALTO;0;Bajo
36;AI;LOW;6;F;t10.dist;E;E;accept;10;6.25;58;2;ALTO;0;Bajo
36;AI;LOW;6;F;t11.dist;E;E;accept;11;6.25;58;2;ALTO;0;Bajo
36;AI;LOW;6;F;t12.dist;E;E;accept;12;6.25;58;2;ALTO;0;Bajo
37;DI;LOW;6;F;t1.dist;U;DI;reject;1;6.5;53;2;ALTO;3;Bajo
37;DI;LOW;6;F;t2.dist;U;DI;reject;2;6.5;53;2;ALTO;3;Bajo
37;DI;LOW;6;F;t3.dist;U;DI;reject;3;6.5;53;2;ALTO;3;Bajo
37;DI;LOW;6;F;t4.dist;U;DI;accept;4;6.5;53;2;ALTO;3;Bajo
37;DI;LOW;6;F;t5.dist;U;DI;accept;5;6.5;53;2;ALTO;3;Bajo
37;DI;LOW;6;F;t6.dist;U;DI;accept;6;6.5;53;2;ALTO;3;Bajo
